route,rail,model_id,model_label,lists,recommendation_eligible_static,in_live_catalog,enabled,status,confidence,decided_window,decided_service_attempts,decided_ok,wilson_lower,wilson_upper,status_reasons,live_min_ask_in,live_min_ask_out,live_min_tier_avail_in,live_cw_median_ask_in,live_cw_median_ask_out,official_in,official_out,live_min_ask_in_under_policy,served_ask_in_median_24h,served_ask_out_median_24h,served_tier_rank_in_median_24h,share_served_under_policy_24h,requests_1h,ok_1h,errors_1h,client_errors_1h,service_attempts_1h,service_success_rate_1h,err_upstream_unavailable_1h,err_timeout_1h,err_rate_limited_1h,err_server_error_1h,ttft_ms_p50_1h,ttft_ms_p95_1h,duration_ms_p50_1h,duration_ms_p95_1h,requests_24h,ok_24h,errors_24h,client_errors_24h,service_attempts_24h,service_success_rate_24h,err_upstream_unavailable_24h,err_timeout_24h,err_rate_limited_24h,err_server_error_24h,ttft_ms_p50_24h,ttft_ms_p95_24h,duration_ms_p50_24h,duration_ms_p95_24h,requests_7d,ok_7d,errors_7d,client_errors_7d,service_attempts_7d,service_success_rate_7d,err_upstream_unavailable_7d,err_timeout_7d,err_rate_limited_7d,err_server_error_7d,ttft_ms_p50_7d,ttft_ms_p95_7d,duration_ms_p50_7d,duration_ms_p95_7d,platform_rail_state,live_book_hash,live_price_ts,request_log_coverage_end,generated_at,code_commit,catalog_raw_sha256,upstream_errors_1h,account_errors_1h,unknown_errors_1h,err_upstream_reject_1h,err_upstream_reject_presumed_1h,upstream_errors_24h,account_errors_24h,unknown_errors_24h,err_upstream_reject_24h,err_upstream_reject_presumed_24h,upstream_errors_7d,account_errors_7d,unknown_errors_7d,err_upstream_reject_7d,err_upstream_reject_presumed_7d
ag/gemini-3.6-flash-high,ag,gemini-3.6-flash-high,Gemini 3.6 Flash,top20:13,False,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.00075,0.00375,41,0.015,0.075,0.75,3.75,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,161195251d0df64f,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
ag/gemini-3.7-flash-high,ag,gemini-3.7-flash-high,Gemini 3.7 Flash,top20:12,False,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.00075,0.00375,28,0.015,0.075,0.75,3.75,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,c46a90b91a244a41,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
ag/gemini-3.8-flash-high,ag,gemini-3.8-flash-high,Gemini 3.8 Flash,top20:3,False,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.00375,0.01875,8,0.06,0.3,0.75,3.75,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,e31029bc0d2e350b,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
ali/deepseek-v4-flash-0731,ali,deepseek-v4-flash-0731,DeepSeek V4 Flash 0731,top20:11,False,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.02992,0.08976,1,0.11,0.33,0.22,0.66,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,b4909385cf044fbd,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
ali/deepseek-v4-pro-0813,ali,deepseek-v4-pro-0813,DeepSeek V4 Pro 0813,top20:5,False,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.0165,0.0495,2346,0.01782,0.05346,0.66,1.98,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,d3aea606a7fa965f,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
ali/deepseek-v4.1-flash,ali,deepseek-v4.1-flash,DeepSeek V4.1 Flash,top20:1;daily_shortlist:1,True,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.01605,0.0642,4091,0.0162,0.0648,0.15,0.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,482904a66008fc61,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
ali/glm-5.2,ali,glm-5.2,GLM 5.2,top20:15;daily_shortlist:6,True,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.0042,0.0132,2,0.007,0.022,1.4,4.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,883e816066e3a707,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
ali/glm-5.3,ali,glm-5.3,GLM 5.3,top20:19,True,True,True,insufficient_data,low,,0,0,,,service_attempts_24h=0 < 10 and service_attempts_1h=0 < 5 | no requests from this account on this route in 7d,0.042,0.132,36,0.35,1.1,1.4,4.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operational,ecca18b5a9b115a2,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,,,,,,,,,,
ali/kimi-k2.7-code,ali,kimi-k2.7-code,Kimi K2.7 Code,top20:20;daily_shortlist:8,True,True,True,healthy,high,24h,299,299,0.991031,1.0,24h success 299/299 service attempts | 24h: 1 client/account-attributable errors excluded,0.00095,0.004,11075,0.00095,0.004,0.95,4.0,True,0.00095,0.004,1.0,1.0,,,,,,,,,,,,,,,300,299,1,1,299,1.0,0,0,0,0,3067.0,7870.5,9365.0,69517.8,300,299,1,1,299,1.0,0,0,0,0,3067.0,7870.5,9365.0,69517.8,operational,eb394d9a90166939,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,,,,,,0,0,0,0,0,0,0,0,0,0
ali/qwen3.8-flash,ali,qwen3.8-flash,Qwen3.8 Flash,top20:7;daily_shortlist:4,True,True,True,healthy,high,24h,1641,1641,0.998354,1.0,24h success 1641/1641 service attempts | 24h: 1 client/account-attributable errors excluded,0.00135,0.00423,3674,0.0015,0.0047,0.15,0.47,True,0.00135,0.00423,1.0,1.0,120,120,0,0,120,1.0,0,0,0,0,8135.0,55443.2,26391.0,125162.4,1642,1641,1,1,1641,1.0,0,0,0,0,2887.0,15135.0,9314.0,85424.0,1642,1641,1,1,1641,1.0,0,0,0,0,2887.0,15135.0,9314.0,85424.0,operational,32b3e58a3ced18a9,2026-09-25T03:50:18Z,2026-09-25T03:47:18Z,2026-09-25T03:51:28Z,930463c714b6f0c78095a8fa4ed3332d9ce21a67,be3d824fbc885f675435009f23b8c12f4b1a56e1f103aec2391f66b1b4bc0840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
