"day_et","route","rail","official_in","official_out","snapshots","min_ask_in_low","min_ask_in_high","min_ask_out_low","min_ask_out_high","cw_median_ask_in_avg","cw_median_ask_out_avg","min_tier_avail_in_last","avail_total_in_last","pct_snapshots_min_ask_in_under_policy"
"2026-09-24","ag/claude-opus-4-6-thinking","ag","5","25","60","0.005","0.095","0.025","0.475","0.502667","2.513333","1","458","100"
"2026-09-24","ag/claude-sonnet-4-6","ag","3","15","60","0.003","0.09","0.015","0.45","0.5057","2.5285","1","333","100"
"2026-09-24","ag/gemini-3.6-flash-high","ag","0.75","3.75","60","0.00075","0.00975","0.00375","0.04875","0.075562","0.377812","41","673","100"
"2026-09-24","ag/gemini-3.7-flash-high","ag","0.75","3.75","60","0.00075","0.375","0.00375","1.875","0.100947","0.504737","28","663","91.67"
"2026-09-24","ag/gemini-3.8-flash-high","ag","0.75","3.75","60","0.00075","0.01725","0.00375","0.08625","0.053663","0.268312","8","406","100"
"2026-09-24","ag/gemini-pro-agent","ag","2","12","60","0.002","0.038","0.012","0.228","0.129367","0.7762","49","477","100"
"2026-09-24","ali/deepseek-v4-flash-0731","ali","0.22","0.66","60","0.02992","0.11","0.08976","0.33","0.11","0.33","1","1700","98.33"
"2026-09-24","ali/deepseek-v4-pro-0813","ali","0.66","1.98","60","0.0165","0.0165","0.0495","0.0495","0.01782","0.05346","2346","7609","100"
"2026-09-24","ali/deepseek-v4.1-flash","ali","0.15","0.6","60","0.01605","0.01605","0.0642","0.0642","0.0162","0.0648","4091","9195","100"
"2026-09-24","ali/glm-5.2","ali","1.4","4.4","60","0.0042","0.0042","0.0132","0.0132","0.007","0.022","2","9648","100"
"2026-09-24","ali/glm-5.3","ali","1.4","4.4","60","0.042","0.042","0.132","0.132","0.35","1.1","36","6383","100"
"2026-09-24","ali/kimi-k2.7-code","ali","0.95","4","60","0.00095","0.00095","0.004","0.004","0.00095","0.004","11075","13578","100"
"2026-09-24","ali/kimi-k3","ali","3","15","60","0.069","0.069","0.345","0.345","0.072","0.36","1865","5206","100"
"2026-09-24","ali/qwen3.8-flash","ali","0.15","0.47","60","0.00135","0.00135","0.00423","0.00423","0.0015","0.0047","3674","13246","100"
"2026-09-24","ali/qwen3.8-max","ali","2","6","60","0.018","0.02","0.054","0.06","1","3","4","2807","100"
"2026-09-24","ali/qwen3.8-max-0902","ali","2","6","60","0.01","0.01","0.03","0.03","0.014","0.042","15","13869","100"
"2026-09-24","ali/qwen3.8-omni-flash","ali","0.15","0.47","60","0.0015","0.0015","0.0047","0.0047","0.0015","0.0047","9409","13545","100"
"2026-09-24","cb/claude-opus-4.6","cb","5","25","60","0.04","0.055","0.2","0.275","0.147667","0.738333","269","12854","100"
"2026-09-24","cb/claude-opus-4.7-1m","cb","5","25","60","0.04","0.055","0.2","0.275","0.147833","0.739167","269","12854","100"
"2026-09-24","cb/claude-opus-5","cb","5","25","60","0.04","0.055","0.2","0.275","0.1605","0.8025","269","13106","100"
"2026-09-24","cb/deepseek-v4.1-flash","cb","0.15","0.6","60","0.00015","0.00015","0.0006","0.0006","0.006","0.024","1","10075","100"
