"route","rail","model_id","window","window_hours","window_start","window_end","requests","ok","errors","client_errors","service_attempts","success_rate","service_success_rate","err_upstream_unavailable","err_timeout","err_rate_limited","err_server_error","err_client_request_error","err_client_cancelled","err_auth","err_payment_required","err_other","ttft_ms_p50","ttft_ms_p95","duration_ms_p50","duration_ms_p95","served_ask_in_median","served_ask_out_median","served_ask_in_min","served_ask_in_max","served_tier_rank_in_median","served_tier_known","served_at_min_tier","served_price_known","served_under_policy","billed_cost_usdc","tokens_in","tokens_out","tokens_cached","first_request_at","last_request_at","last_ok_at","last_service_error_at","share_served_at_min_tier","share_served_under_policy","live_price_ts","live_min_ask_in","live_min_ask_out","live_min_tier_avail_in","live_cw_median_ask_in","live_cw_median_ask_out","official_in","official_out","live_listings_in","live_enabled","live_book_hash","live_min_ask_in_under_policy","platform_rail_state","platform_availability_now_pct","platform_availability_24h_pct","platform_status_ts"
"ali/kimi-k2.7-code","ali","kimi-k2.7-code","1h","1","2026-09-24 22:48:40.967000","2026-09-24 23:48:40.967000","124","124","0","0","124","1","1","0","0","0","0","0","0","0","0","0","2874.5","7471.8","8837","68369","0.00095","0.004","0.00095","0.00095","1","124","124","124","124","0.001987","6552989","103300","5729536","2026-09-24 23:29:03.677000","2026-09-24 23:48:17.882000","2026-09-24 23:48:17.882000","","1","1","2026-09-24 23:45:24.629000","0.00095","0.004","11266","0.00095","0.004","0.95","4","13769","True","26b5a6bfe770aa8d","True","operational","100","99.97","2026-09-24 23:44:19.356000"
"ali/kimi-k2.7-code","ali","kimi-k2.7-code","24h","24","2026-09-23 23:48:40.967000","2026-09-24 23:48:40.967000","124","124","0","0","124","1","1","0","0","0","0","0","0","0","0","0","2874.5","7471.8","8837","68369","0.00095","0.004","0.00095","0.00095","1","124","124","124","124","0.001987","6552989","103300","5729536","2026-09-24 23:29:03.677000","2026-09-24 23:48:17.882000","2026-09-24 23:48:17.882000","","1","1","2026-09-24 23:45:24.629000","0.00095","0.004","11266","0.00095","0.004","0.95","4","13769","True","26b5a6bfe770aa8d","True","operational","100","99.97","2026-09-24 23:44:19.356000"
"ali/kimi-k2.7-code","ali","kimi-k2.7-code","7d","168","2026-09-17 23:48:40.967000","2026-09-24 23:48:40.967000","124","124","0","0","124","1","1","0","0","0","0","0","0","0","0","0","2874.5","7471.8","8837","68369","0.00095","0.004","0.00095","0.00095","1","124","124","124","124","0.001987","6552989","103300","5729536","2026-09-24 23:29:03.677000","2026-09-24 23:48:17.882000","2026-09-24 23:48:17.882000","","1","1","2026-09-24 23:45:24.629000","0.00095","0.004","11266","0.00095","0.004","0.95","4","13769","True","26b5a6bfe770aa8d","True","operational","100","99.97","2026-09-24 23:44:19.356000"
"ali/qwen3.8-flash","ali","qwen3.8-flash","1h","1","2026-09-24 22:48:40.967000","2026-09-24 23:48:40.967000","283","283","0","0","283","1","1","0","0","0","0","0","0","0","0","0","2236","3860.7","7398","76762.7","0.00135","0.00423","0.00135","0.00135","1","189","189","283","283","0.004763","9817034","380491","8670464","2026-09-24 22:50:54.232000","2026-09-24 23:48:19.552000","2026-09-24 23:48:19.552000","","1","1","2026-09-24 23:45:24.629000","0.00135","0.00423","3872","0.0015","0.0047","0.15","0.47","13444","True","079150ff3b05e7d2","True","operational","100","99.97","2026-09-24 23:44:19.356000"
"ali/qwen3.8-flash","ali","qwen3.8-flash","24h","24","2026-09-23 23:48:40.967000","2026-09-24 23:48:40.967000","723","723","0","0","723","1","1","0","0","0","0","0","0","0","0","0","2399","4133.8","7625","74131.6","0.00135","0.00423","0.00135","0.00135","1","189","189","723","723","0.011744","26838595","887052","24161536","2026-09-24 05:14:14.823000","2026-09-24 23:48:19.552000","2026-09-24 23:48:19.552000","","1","1","2026-09-24 23:45:24.629000","0.00135","0.00423","3872","0.0015","0.0047","0.15","0.47","13444","True","079150ff3b05e7d2","True","operational","100","99.97","2026-09-24 23:44:19.356000"
"ali/qwen3.8-flash","ali","qwen3.8-flash","7d","168","2026-09-17 23:48:40.967000","2026-09-24 23:48:40.967000","723","723","0","0","723","1","1","0","0","0","0","0","0","0","0","0","2399","4133.8","7625","74131.6","0.00135","0.00423","0.00135","0.00135","1","189","189","723","723","0.011744","26838595","887052","24161536","2026-09-24 05:14:14.823000","2026-09-24 23:48:19.552000","2026-09-24 23:48:19.552000","","1","1","2026-09-24 23:45:24.629000","0.00135","0.00423","3872","0.0015","0.0047","0.15","0.47","13444","True","079150ff3b05e7d2","True","operational","100","99.97","2026-09-24 23:44:19.356000"
"ali/qwen3.8-max","ali","qwen3.8-max","24h","24","2026-09-23 23:48:40.967000","2026-09-24 23:48:40.967000","2","2","0","0","2","1","1","0","0","0","0","0","0","0","0","0","927.5","1075.6","2928","3261.9","0.014","0.042","0.014","0.014","","0","0","2","2","0.000027","1089","282","","2026-09-24 21:39:02.408000","2026-09-24 21:39:06.258000","2026-09-24 21:39:06.258000","","","1","2026-09-24 23:45:24.629000","0.018","0.054","4","1","3","2","6","2807","True","ddde7430e87b76ea","True","operational","100","99.97","2026-09-24 23:44:19.356000"
"ali/qwen3.8-max","ali","qwen3.8-max","7d","168","2026-09-17 23:48:40.967000","2026-09-24 23:48:40.967000","2","2","0","0","2","1","1","0","0","0","0","0","0","0","0","0","927.5","1075.6","2928","3261.9","0.014","0.042","0.014","0.014","","0","0","2","2","0.000027","1089","282","","2026-09-24 21:39:02.408000","2026-09-24 21:39:06.258000","2026-09-24 21:39:06.258000","","","1","2026-09-24 23:45:24.629000","0.018","0.054","4","1","3","2","6","2807","True","ddde7430e87b76ea","True","operational","100","99.97","2026-09-24 23:44:19.356000"
"cb/deepseek-v4.1-flash","cb","deepseek-v4.1-flash","1h","1","2026-09-24 22:48:40.967000","2026-09-24 23:48:40.967000","288","288","0","0","288","1","1","0","0","0","0","0","0","0","0","0","1955.5","3668.7","3148.5","14522.4","0.0015","0.006","0.00015","0.0015","2","192","75","288","288","0.006962","14195596","214206","10174080","2026-09-24 22:48:41.933000","2026-09-24 23:48:27.703000","2026-09-24 23:48:27.703000","","0.390625","1","2026-09-24 23:45:24.629000","0.00015","0.0006","2","0.006","0.024","0.15","0.6","10596","True","eb9dfa5c85f8192e","True","operational","99.97","99.9","2026-09-24 23:44:19.356000"
"cb/deepseek-v4.1-flash","cb","deepseek-v4.1-flash","24h","24","2026-09-23 23:48:40.967000","2026-09-24 23:48:40.967000","1014","1014","0","0","1014","1","1","0","0","0","0","0","0","0","0","0","2547","9103","3872.5","19818.4","0.0015","0.006","0.00015","0.0024","2","192","75","1014","1014","0.016725","30886743","892689","24472832","2026-09-24 06:58:14.925000","2026-09-24 23:48:27.703000","2026-09-24 23:48:27.703000","","0.390625","1","2026-09-24 23:45:24.629000","0.00015","0.0006","2","0.006","0.024","0.15","0.6","10596","True","eb9dfa5c85f8192e","True","operational","99.97","99.9","2026-09-24 23:44:19.356000"
