"route","rail","model_id","window","window_hours","window_start","window_end","requests","ok","errors","client_errors","service_attempts","success_rate","service_success_rate","upstream_errors","account_errors","unknown_errors","err_upstream_reject","err_upstream_reject_presumed","err_upstream_unavailable","err_timeout","err_rate_limited","err_server_error","err_client_request_error","err_client_cancelled","err_auth","err_payment_required","err_other","ttft_ms_p50","ttft_ms_p95","duration_ms_p50","duration_ms_p95","served_ask_in_median","served_ask_out_median","served_ask_in_min","served_ask_in_max","served_tier_rank_in_median","served_tier_known","served_at_min_tier","served_price_known","served_under_policy","billed_cost_usdc","tokens_in","tokens_out","tokens_cached","first_request_at","last_request_at","last_ok_at","last_service_error_at","share_served_at_min_tier","share_served_under_policy","live_price_ts","live_min_ask_in","live_min_ask_out","live_min_tier_avail_in","live_cw_median_ask_in","live_cw_median_ask_out","official_in","official_out","live_listings_in","live_enabled","live_book_hash","live_min_ask_in_under_policy","platform_rail_state","platform_availability_now_pct","platform_availability_24h_pct","platform_status_ts"
"ag/gemini-3.8-flash-high","ag","gemini-3.8-flash-high","1h","1","2026-09-26 02:47:21.751000","2026-09-26 03:47:21.751000","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18718","18718","18718","18718","0.00225","0.01125","0.00225","0.00225","2","1","0","1","1","0.000087","23959","2900","","2026-09-26 03:14:54.116000","2026-09-26 03:14:54.116000","2026-09-26 03:14:54.116000","","0","1","2026-09-26 03:50:12.177000","0.00075","0.00375","3","0.00375","0.01875","0.75","3.75","968","True","b1a3a5ea53759ae1","True","operational","99.65","99.81","2026-09-26 03:45:26.573000"
"ag/gemini-3.8-flash-high","ag","gemini-3.8-flash-high","24h","24","2026-09-25 03:47:21.751000","2026-09-26 03:47:21.751000","35","35","0","0","35","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12892","19817.5","12892","19817.5","0.00225","0.01125","0.00075","0.00375","2","35","17","35","35","0.004402","1366504","82300","64882","2026-09-25 21:21:59.875000","2026-09-26 03:14:54.116000","2026-09-26 03:14:54.116000","","0.485714","1","2026-09-26 03:50:12.177000","0.00075","0.00375","3","0.00375","0.01875","0.75","3.75","968","True","b1a3a5ea53759ae1","True","operational","99.65","99.81","2026-09-26 03:45:26.573000"
"ag/gemini-3.8-flash-high","ag","gemini-3.8-flash-high","7d","168","2026-09-19 03:47:21.751000","2026-09-26 03:47:21.751000","35","35","0","0","35","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12892","19817.5","12892","19817.5","0.00225","0.01125","0.00075","0.00375","2","35","17","35","35","0.004402","1366504","82300","64882","2026-09-25 21:21:59.875000","2026-09-26 03:14:54.116000","2026-09-26 03:14:54.116000","","0.485714","1","2026-09-26 03:50:12.177000","0.00075","0.00375","3","0.00375","0.01875","0.75","3.75","968","True","b1a3a5ea53759ae1","True","operational","99.65","99.81","2026-09-26 03:45:26.573000"
"ali/kimi-k2.7-code","ali","kimi-k2.7-code","7d","168","2026-09-19 03:47:21.751000","2026-09-26 03:47:21.751000","300","299","1","1","299","0.996667","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3067","7870.5","9365","69517.8","0.00095","0.004","0.00095","0.00095","1","299","299","299","299","0.005639","20776473","257357","18141056","2026-09-24 23:29:03.677000","2026-09-25 00:47:08.872000","2026-09-25 00:47:08.872000","","1","1","2026-09-26 03:50:12.177000","0.00095","0.004","9223","0.00095","0.004","0.95","4","11726","True","add9ab23cabecaa0","True","operational","100","99.98","2026-09-26 03:45:26.573000"
"ali/qwen3.8-flash","ali","qwen3.8-flash","1h","1","2026-09-26 02:47:21.751000","2026-09-26 03:47:21.751000","110","110","0","0","110","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8048","30939.2","23653.5","65575.2","0.00135","0.00423","0.00135","0.00135","1","110","110","110","110","0.015849","31391837","145192","22342656","2026-09-26 02:47:56.047000","2026-09-26 03:47:00.548000","2026-09-26 03:47:00.548000","","1","1","2026-09-26 03:50:12.177000","0.00135","0.00423","2694","0.0015","0.0047","0.15","0.47","12266","True","ba58b66f51330f81","True","operational","100","99.98","2026-09-26 03:45:26.573000"
"ali/qwen3.8-flash","ali","qwen3.8-flash","24h","24","2026-09-25 03:47:21.751000","2026-09-26 03:47:21.751000","3062","3056","6","6","3056","0.99804","1","0","0","0","0","0","0","0","0","0","1","5","0","0","0","5133.5","54869","12796.5","71660.3","0.00135","0.00423","0.00135","0.00135","1","3056","3056","3056","3056","0.183444","484583508","2419899","396591508","2026-09-25 03:59:56.864000","2026-09-26 03:47:00.548000","2026-09-26 03:47:00.548000","","1","1","2026-09-26 03:50:12.177000","0.00135","0.00423","2694","0.0015","0.0047","0.15","0.47","12266","True","ba58b66f51330f81","True","operational","100","99.98","2026-09-26 03:45:26.573000"
"ali/qwen3.8-flash","ali","qwen3.8-flash","7d","168","2026-09-19 03:47:21.751000","2026-09-26 03:47:21.751000","4704","4697","7","7","4697","0.998512","1","0","0","0","0","0","0","0","0","0","1","6","0","0","0","4200","44739.6","11681","76064.6","0.00135","0.00423","0.00135","0.00135","1","4163","4163","4697","4697","0.218714","567634926","4325365","468159892","2026-09-24 05:14:14.823000","2026-09-26 03:47:00.548000","2026-09-26 03:47:00.548000","","1","1","2026-09-26 03:50:12.177000","0.00135","0.00423","2694","0.0015","0.0047","0.15","0.47","12266","True","ba58b66f51330f81","True","operational","100","99.98","2026-09-26 03:45:26.573000"
"ali/qwen3.8-max","ali","qwen3.8-max","24h","24","2026-09-25 03:47:21.751000","2026-09-26 03:47:21.751000","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8654","8654","8654","8654","0.018","0.054","0.018","0.018","1","1","1","1","1","0.000010","299","27","","2026-09-25 06:54:29.320000","2026-09-25 06:54:29.320000","2026-09-25 06:54:29.320000","","1","1","2026-09-26 03:50:12.177000","0.018","0.054","4","1","3","2","6","2807","True","ddde7430e87b76ea","True","operational","100","99.98","2026-09-26 03:45:26.573000"
"ali/qwen3.8-max","ali","qwen3.8-max","7d","168","2026-09-19 03:47:21.751000","2026-09-26 03:47:21.751000","141","136","5","5","136","0.964539","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5301","36537.5","12809","52252.5","0.018","0.054","0.014","0.018","1","134","134","136","136","0.072307","4851226","92998","1193720","2026-09-24 21:39:02.408000","2026-09-25 06:54:29.320000","2026-09-25 06:54:29.320000","","1","1","2026-09-26 03:50:12.177000","0.018","0.054","4","1","3","2","6","2807","True","ddde7430e87b76ea","True","operational","100","99.98","2026-09-26 03:45:26.573000"
"cb/claude-opus-5","cb","claude-opus-5","24h","24","2026-09-25 03:47:21.751000","2026-09-26 03:47:21.751000","7","0","7","0","7","0","0","7","0","0","7","7","0","0","0","0","0","0","0","0","0","","","","","","","","","","0","0","0","0","0.000000","","","","2026-09-25 09:52:18.922000","2026-09-25 18:56:13.615000","","2026-09-25 18:56:13.615000","","","2026-09-26 03:50:12.177000","0.045","0.225","20","0.185","0.925","5","25","13388","True","86c3a4c6ae68545a","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
"cb/claude-opus-5","cb","claude-opus-5","7d","168","2026-09-19 03:47:21.751000","2026-09-26 03:47:21.751000","7","0","7","0","7","0","0","7","0","0","7","7","0","0","0","0","0","0","0","0","0","","","","","","","","","","0","0","0","0","0.000000","","","","2026-09-25 09:52:18.922000","2026-09-25 18:56:13.615000","","2026-09-25 18:56:13.615000","","","2026-09-26 03:50:12.177000","0.045","0.225","20","0.185","0.925","5","25","13388","True","86c3a4c6ae68545a","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
"cb/deepseek-v4.1-flash","cb","deepseek-v4.1-flash","1h","1","2026-09-26 02:47:21.751000","2026-09-26 03:47:21.751000","683","663","20","0","683","0.970717","0.970717","20","0","0","19","19","1","0","0","0","0","0","0","0","0","6424","21541.2","7708","24233.8","0.00165","0.0066","0.00135","0.00165","2","663","4","663","663","0.085890","249345826","355698","219068800","2026-09-26 02:47:22.624000","2026-09-26 03:47:03.960000","2026-09-26 03:46:44.534000","2026-09-26 03:47:03.960000","0.006033","1","2026-09-26 03:50:12.177000","0.00135","0.0054","20","0.006","0.024","0.15","0.6","10569","True","48a3e1edf2e9a358","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
"cb/deepseek-v4.1-flash","cb","deepseek-v4.1-flash","24h","24","2026-09-25 03:47:21.751000","2026-09-26 03:47:21.751000","11433","11372","61","2","11431","0.994665","0.994839","59","0","0","42","42","17","0","0","0","0","2","0","0","0","4576","30362","6255.5","34743.7","0.00165","0.0066","0.00015","0.00225","2","11370","5574","11372","11372","0.669443","2059899603","7978275","1822552037","2026-09-25 04:00:02.158000","2026-09-26 03:47:03.960000","2026-09-26 03:46:44.534000","2026-09-26 03:47:03.960000","0.490237","1","2026-09-26 03:50:12.177000","0.00135","0.0054","20","0.006","0.024","0.15","0.6","10569","True","48a3e1edf2e9a358","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
"cb/deepseek-v4.1-flash","cb","deepseek-v4.1-flash","7d","168","2026-09-19 03:47:21.751000","2026-09-26 03:47:21.751000","15260","15193","67","8","15252","0.995609","0.996132","59","0","0","42","42","17","0","0","0","0","8","0","0","0","3964","24446.4","5741","30651.2","0.00165","0.0066","0.00015","0.0024","2","14369","6637","15193","15193","0.789280","2296639699","11166948","1991970405","2026-09-24 06:58:14.925000","2026-09-26 03:47:03.960000","2026-09-26 03:46:44.534000","2026-09-26 03:47:03.960000","0.461897","1","2026-09-26 03:50:12.177000","0.00135","0.0054","20","0.006","0.024","0.15","0.6","10569","True","48a3e1edf2e9a358","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
"cb/gemini-3.1-flash-image","cb","gemini-3.1-flash-image","7d","168","2026-09-19 03:47:21.751000","2026-09-26 03:47:21.751000","53","43","10","10","43","0.811321","1","0","0","0","0","0","0","0","0","0","0","10","0","0","0","16122","28182.9","16122","28182.9","0.0055","0.66","0.0055","0.0055","1","43","43","43","43","0.032141","64325","48160","","2026-09-24 23:53:19.280000","2026-09-25 00:08:01.866000","2026-09-25 00:08:01.866000","","1","1","2026-09-26 03:50:12.177000","0.0045","0.54","20","0.025","3","0.5","60","9838","True","448fa6ba10fded25","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
"cb/glm-5.3","cb","glm-5.3","7d","168","2026-09-19 03:47:21.751000","2026-09-26 03:47:21.751000","157","157","0","0","157","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4502","64000.8","5658","69276","0.014","0.044","0.014","0.014","2","35","10","157","157","0.012555","942165","220708","837719","2026-09-24 21:38:53.035000","2026-09-24 23:41:17.087000","2026-09-24 23:41:17.087000","","0.285714","1","2026-09-26 03:50:12.177000","0.0126","0.0396","19","0.0518","0.1628","1.4","4.4","12705","True","ed0ee626760dc9b2","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
"cb/gpt-5.6-luna","cb","gpt-5.6-luna","24h","24","2026-09-25 03:47:21.751000","2026-09-26 03:47:21.751000","649","640","9","0","649","0.986133","0.986133","9","0","0","9","9","0","0","0","0","0","0","0","0","0","5626.5","9519.4","5626.5","9519.4","0.0022","0.0132","0.0018","0.0022","1","640","456","640","640","0.006424","746272","224710","28138","2026-09-26 02:07:29.530000","2026-09-26 02:43:10.053000","2026-09-26 02:43:10.053000","2026-09-26 02:40:39.930000","0.7125","1","2026-09-26 03:50:12.177000","0.0018","0.0108","20","0.0074","0.0444","0.2","1.2","12741","True","05941024b632e407","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
"cb/gpt-5.6-luna","cb","gpt-5.6-luna","7d","168","2026-09-19 03:47:21.751000","2026-09-26 03:47:21.751000","649","640","9","0","649","0.986133","0.986133","9","0","0","9","9","0","0","0","0","0","0","0","0","0","5626.5","9519.4","5626.5","9519.4","0.0022","0.0132","0.0018","0.0022","1","640","456","640","640","0.006424","746272","224710","28138","2026-09-26 02:07:29.530000","2026-09-26 02:43:10.053000","2026-09-26 02:43:10.053000","2026-09-26 02:40:39.930000","0.7125","1","2026-09-26 03:50:12.177000","0.0018","0.0108","20","0.0074","0.0444","0.2","1.2","12741","True","05941024b632e407","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
"cb/gpt-6-astra","cb","gpt-6-astra","24h","24","2026-09-25 03:47:21.751000","2026-09-26 03:47:21.751000","18","18","0","0","18","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5038","11751.3","8946","26613.5","0.12","0.6","0.11","0.12","2","18","7","18","0","0.036901","677952","8926","454181","2026-09-25 22:53:30.274000","2026-09-25 23:45:08.236000","2026-09-25 23:45:08.236000","","0.388889","0","2026-09-26 03:50:12.177000","0.09","0.45","20","0.3","1.5","10","50","13233","True","ee97eac44a7a75c3","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
"cb/gpt-6-astra","cb","gpt-6-astra","7d","168","2026-09-19 03:47:21.751000","2026-09-26 03:47:21.751000","900","881","19","0","900","0.978889","0.978889","19","0","0","19","15","0","0","0","0","0","0","0","0","0","7003","25263","9444","51608","0.11","0.55","0.08","0.18","1","317","163","881","237","2.156761","54315074","515672","39662194","2026-09-24 00:22:30.344000","2026-09-25 23:45:08.236000","2026-09-25 23:45:08.236000","2026-09-25 01:00:27.132000","0.514196","0.269012","2026-09-26 03:50:12.177000","0.09","0.45","20","0.3","1.5","10","50","13233","True","ee97eac44a7a75c3","True","operational","99.89","99.83","2026-09-26 03:45:26.573000"
