"route","rail","model_id","window","window_hours","window_start","window_end","requests","ok","errors","client_errors","service_attempts","success_rate","service_success_rate","upstream_errors","account_errors","unknown_errors","err_upstream_reject","err_upstream_reject_presumed","err_upstream_unavailable","err_timeout","err_rate_limited","err_server_error","err_client_request_error","err_client_cancelled","err_auth","err_payment_required","err_other","ttft_ms_p50","ttft_ms_p95","duration_ms_p50","duration_ms_p95","served_ask_in_median","served_ask_out_median","served_ask_in_min","served_ask_in_max","served_tier_rank_in_median","served_tier_known","served_at_min_tier","served_price_known","served_under_policy","billed_cost_usdc","tokens_in","tokens_out","tokens_cached","first_request_at","last_request_at","last_ok_at","last_service_error_at","share_served_at_min_tier","share_served_under_policy","live_price_ts","live_min_ask_in","live_min_ask_out","live_min_tier_avail_in","live_cw_median_ask_in","live_cw_median_ask_out","official_in","official_out","live_listings_in","live_enabled","live_book_hash","live_min_ask_in_under_policy","platform_rail_state","platform_availability_now_pct","platform_availability_24h_pct","platform_status_ts"
"ali/kimi-k2.7-code","ali","kimi-k2.7-code","1h","1","2026-09-24 23:02:26.699000","2026-09-25 00:02:26.699000","150","150","0","0","150","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2869","7469.4","8684.5","76645.6","0.00095","0.004","0.00095","0.00095","1","150","150","150","150","0.002397","8221458","131460","7278848","2026-09-24 23:29:03.677000","2026-09-25 00:02:00.855000","2026-09-25 00:02:00.855000","","1","1","2026-09-25 00:10:15.945000","0.00095","0.004","11240","0.00095","0.004","0.95","4","13743","True","4c7ecee3d66a493c","True","operational","100","99.97","2026-09-25 00:09:19.331000"
"ali/kimi-k2.7-code","ali","kimi-k2.7-code","24h","24","2026-09-24 00:02:26.699000","2026-09-25 00:02:26.699000","150","150","0","0","150","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2869","7469.4","8684.5","76645.6","0.00095","0.004","0.00095","0.00095","1","150","150","150","150","0.002397","8221458","131460","7278848","2026-09-24 23:29:03.677000","2026-09-25 00:02:00.855000","2026-09-25 00:02:00.855000","","1","1","2026-09-25 00:10:15.945000","0.00095","0.004","11240","0.00095","0.004","0.95","4","13743","True","4c7ecee3d66a493c","True","operational","100","99.97","2026-09-25 00:09:19.331000"
"ali/kimi-k2.7-code","ali","kimi-k2.7-code","7d","168","2026-09-18 00:02:26.699000","2026-09-25 00:02:26.699000","150","150","0","0","150","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2869","7469.4","8684.5","76645.6","0.00095","0.004","0.00095","0.00095","1","150","150","150","150","0.002397","8221458","131460","7278848","2026-09-24 23:29:03.677000","2026-09-25 00:02:00.855000","2026-09-25 00:02:00.855000","","1","1","2026-09-25 00:10:15.945000","0.00095","0.004","11240","0.00095","0.004","0.95","4","13743","True","4c7ecee3d66a493c","True","operational","100","99.97","2026-09-25 00:09:19.331000"
"ali/qwen3.8-flash","ali","qwen3.8-flash","1h","1","2026-09-24 23:02:26.699000","2026-09-25 00:02:26.699000","261","261","0","0","261","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2348","3872","8016","77212","0.00135","0.00423","0.00135","0.00135","1","230","230","261","261","0.004599","9731960","351653","8533760","2026-09-24 23:02:49.637000","2026-09-25 00:02:07.159000","2026-09-25 00:02:07.159000","","1","1","2026-09-25 00:10:15.945000","0.00135","0.00423","3866","0.0015","0.0047","0.15","0.47","13438","True","8f7416ccb11c1e53","True","operational","100","99.97","2026-09-25 00:09:19.331000"
"ali/qwen3.8-flash","ali","qwen3.8-flash","24h","24","2026-09-24 00:02:26.699000","2026-09-25 00:02:26.699000","764","764","0","0","764","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2412.5","4169.3","7633","71487.5","0.00135","0.00423","0.00135","0.00135","1","230","230","764","764","0.012390","28525559","915168","25636352","2026-09-24 05:14:14.823000","2026-09-25 00:02:07.159000","2026-09-25 00:02:07.159000","","1","1","2026-09-25 00:10:15.945000","0.00135","0.00423","3866","0.0015","0.0047","0.15","0.47","13438","True","8f7416ccb11c1e53","True","operational","100","99.97","2026-09-25 00:09:19.331000"
"ali/qwen3.8-flash","ali","qwen3.8-flash","7d","168","2026-09-18 00:02:26.699000","2026-09-25 00:02:26.699000","764","764","0","0","764","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2412.5","4169.3","7633","71487.5","0.00135","0.00423","0.00135","0.00135","1","230","230","764","764","0.012390","28525559","915168","25636352","2026-09-24 05:14:14.823000","2026-09-25 00:02:07.159000","2026-09-25 00:02:07.159000","","1","1","2026-09-25 00:10:15.945000","0.00135","0.00423","3866","0.0015","0.0047","0.15","0.47","13438","True","8f7416ccb11c1e53","True","operational","100","99.97","2026-09-25 00:09:19.331000"
"ali/qwen3.8-max","ali","qwen3.8-max","24h","24","2026-09-24 00:02:26.699000","2026-09-25 00:02:26.699000","2","2","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","927.5","1075.6","2928","3261.9","0.014","0.042","0.014","0.014","","0","0","2","2","0.000027","1089","282","","2026-09-24 21:39:02.408000","2026-09-24 21:39:06.258000","2026-09-24 21:39:06.258000","","","1","2026-09-25 00:10:15.945000","0.018","0.054","4","1","3","2","6","2807","True","ddde7430e87b76ea","True","operational","100","99.97","2026-09-25 00:09:19.331000"
"ali/qwen3.8-max","ali","qwen3.8-max","7d","168","2026-09-18 00:02:26.699000","2026-09-25 00:02:26.699000","2","2","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","927.5","1075.6","2928","3261.9","0.014","0.042","0.014","0.014","","0","0","2","2","0.000027","1089","282","","2026-09-24 21:39:02.408000","2026-09-24 21:39:06.258000","2026-09-24 21:39:06.258000","","","1","2026-09-25 00:10:15.945000","0.018","0.054","4","1","3","2","6","2807","True","ddde7430e87b76ea","True","operational","100","99.97","2026-09-25 00:09:19.331000"
"cb/deepseek-v4.1-flash","cb","deepseek-v4.1-flash","1h","1","2026-09-24 23:02:26.699000","2026-09-25 00:02:26.699000","261","261","0","0","261","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1641","3505","2890","12488","0.0015","0.006","0.00015","0.0015","2","261","106","261","261","0.007552","13420956","163089","8359552","2026-09-24 23:05:13.424000","2026-09-25 00:02:06.407000","2026-09-25 00:02:06.407000","","0.40613","1","2026-09-25 00:10:15.945000","0.00015","0.0006","5","0.006","0.024","0.15","0.6","10569","True","35859dc29fdbf06e","True","operational","99.97","99.9","2026-09-25 00:09:19.331000"
"cb/deepseek-v4.1-flash","cb","deepseek-v4.1-flash","24h","24","2026-09-24 00:02:26.699000","2026-09-25 00:02:26.699000","1083","1083","0","0","1083","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2509","8971.6","3827","19549.4","0.0015","0.006","0.00015","0.0024","2","261","106","1083","1083","0.019350","34138935","941502","25887104","2026-09-24 06:58:14.925000","2026-09-25 00:02:06.407000","2026-09-25 00:02:06.407000","","0.40613","1","2026-09-25 00:10:15.945000","0.00015","0.0006","5","0.006","0.024","0.15","0.6","10569","True","35859dc29fdbf06e","True","operational","99.97","99.9","2026-09-25 00:09:19.331000"
